,Postcode,Borough,Neighbourhood,Postal Code,Latitude,Longitude
0,M5N,Central Toronto,Roselawn,M5N,43.7116948,-79.41693559999999
1,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",M5L,43.6481985,-79.37981690000001
2,M6G,Downtown Toronto,Christie,M6G,43.669542,-79.4225637
3,M6J,West Toronto,"Little Portugal, Trinity",M6J,43.647926700000006,-79.4197497
4,M9M,North York,"Emery, Humberlea",M9M,43.7247659,-79.53224240000002
5,M1W,Scarborough,L'Amoreaux West,M1W,43.799525200000005,-79.3183887
6,M3K,North York,"CFB Toronto, Downsview East",M3K,43.737473200000004,-79.46476329999999
7,M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",M5V,43.6289467,-79.3944199
8,M2J,North York,"Fairview, Henry Farm, Oriole",M2J,43.7785175,-79.3465557
9,M5C,Downtown Toronto,St. James Town,M5C,43.6514939,-79.3754179
10,M4R,Central Toronto,North Toronto West,M4R,43.7153834,-79.40567840000001
11,M7R,Mississauga,Canada Post Gateway Processing Centre,M7R,43.6369656,-79.61581899999999
12,M7A,Queen's Park,Queen's Park,M7A,43.6623015,-79.3894938
13,M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",M9R,43.6889054,-79.55472440000001
14,M5P,Central Toronto,"Forest Hill North, Forest Hill West",M5P,43.6969476,-79.41130720000001
15,M4B,East York,"Woodbine Gardens, Parkview Hill",M4B,43.7063972,-79.309937
16,M9N,York,Weston,M9N,43.706876,-79.51818840000001
17,M4G,East York,Leaside,M4G,43.7090604,-79.3634517
18,M6P,West Toronto,"High Park, The Junction South",M6P,43.6616083,-79.46476329999999
19,M4M,East Toronto,Studio District,M4M,43.6595255,-79.340923
20,M6S,West Toronto,"Runnymede, Swansea",M6S,43.6515706,-79.4844499
21,M5A,Downtown Toronto,"Harbourfront, Regent Park",M5A,43.6542599,-79.3606359
22,M4A,North York,Victoria Village,M4A,43.725882299999995,-79.31557159999998
23,M4C,East York,Woodbine Heights,M4C,43.695343900000005,-79.3183887
24,M6R,West Toronto,"Parkdale, Roncesvalles",M6R,43.6489597,-79.456325
25,M5S,Downtown Toronto,"Harbord, University of Toronto",M5S,43.6626956,-79.4000493
26,M5M,North York,"Bedford Park, Lawrence Manor East",M5M,43.7332825,-79.4197497
27,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",M8X,43.653653600000005,-79.5069436
28,M2P,North York,York Mills West,M2P,43.752758299999996,-79.4000493
29,M6L,North York,"Downsview, North Park, Upwood Park",M6L,43.713756200000006,-79.4900738
30,M1S,Scarborough,Agincourt,M1S,43.7942003,-79.26202940000002
31,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",M1C,43.7845351,-79.16049709999999
32,M1G,Scarborough,Woburn,M1G,43.7709921,-79.21691740000001
33,M6N,York,"The Junction North, Runnymede",M6N,43.67318529999999,-79.48726190000001
34,M4H,East York,Thorncliffe Park,M4H,43.7053689,-79.34937190000001
35,M9W,Etobicoke,Northwest,M9W,43.706748299999994,-79.5940544
36,M4N,Central Toronto,Lawrence Park,M4N,43.7280205,-79.3887901
37,M6C,York,Humewood-Cedarvale,M6C,43.6937813,-79.42819140000002
38,M3B,North York,Don Mills North,M3B,43.745905799999996,-79.352188
39,M2R,North York,Willowdale West,M2R,43.7827364,-79.4422593
40,M4X,Downtown Toronto,"Cabbagetown, St. James Town",M4X,43.667967,-79.3676753
41,M4T,Central Toronto,"Moore Park, Summerhill East",M4T,43.6895743,-79.38315990000001
42,M2N,North York,Willowdale South,M2N,43.7701199,-79.40849279999999
43,M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",M4V,43.68641229999999,-79.4000493
44,M8W,Etobicoke,"Alderwood, Long Branch",M8W,43.60241370000001,-79.54348409999999
45,M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",M8Z,43.6288408,-79.52099940000001
46,M9L,North York,Humber Summit,M9L,43.7563033,-79.56596329999999
47,M5E,Downtown Toronto,Berczy Park,M5E,43.644770799999996,-79.3733064
48,M4L,East Toronto,"The Beaches West, India Bazaar",M4L,43.6689985,-79.31557159999998
49,M9A,Etobicoke,Islington Avenue,M9A,43.6678556,-79.53224240000002
50,M5B,Downtown Toronto,"Ryerson, Garden District",M5B,43.6571618,-79.37893709999999
51,M4K,East Toronto,"The Danforth West, Riverdale",M4K,43.6795571,-79.352188
52,M4E,East Toronto,The Beaches,M4E,43.67635739999999,-79.2930312
53,M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto",M8V,43.6056466,-79.50132070000001
54,M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",M1M,43.716316,-79.23947609999999
55,M3C,North York,"Flemingdon Park, Don Mills South",M3C,43.72589970000001,-79.340923
