,Postcode,Borough,Neighbourhood
0,M5N,Central Toronto,Roselawn
1,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel"
2,M6G,Downtown Toronto,Christie
3,M6J,West Toronto,"Little Portugal, Trinity"
4,M9M,North York,"Emery, Humberlea"
5,M1W,Scarborough,L'Amoreaux West
6,M3K,North York,"CFB Toronto, Downsview East"
7,M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara"
8,M2J,North York,"Fairview, Henry Farm, Oriole"
9,M5C,Downtown Toronto,St. James Town
10,M4R,Central Toronto,North Toronto West
11,M7R,Mississauga,Canada Post Gateway Processing Centre
12,M7A,Queen's Park,Queen's Park
13,M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips"
14,M5P,Central Toronto,"Forest Hill North, Forest Hill West"
15,M4B,East York,"Woodbine Gardens, Parkview Hill"
16,M9N,York,Weston
17,M4G,East York,Leaside
18,M6P,West Toronto,"High Park, The Junction South"
19,M4M,East Toronto,Studio District
20,M6S,West Toronto,"Runnymede, Swansea"
21,M5A,Downtown Toronto,"Harbourfront, Regent Park"
22,M4A,North York,Victoria Village
23,M4C,East York,Woodbine Heights
24,M6R,West Toronto,"Parkdale, Roncesvalles"
25,M5S,Downtown Toronto,"Harbord, University of Toronto"
26,M5M,North York,"Bedford Park, Lawrence Manor East"
27,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
28,M2P,North York,York Mills West
29,M6L,North York,"Downsview, North Park, Upwood Park"
30,M1S,Scarborough,Agincourt
31,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
32,M1G,Scarborough,Woburn
33,M6N,York,"The Junction North, Runnymede"
34,M4H,East York,Thorncliffe Park
35,M9W,Etobicoke,Northwest
36,M4N,Central Toronto,Lawrence Park
37,M6C,York,Humewood-Cedarvale
38,M3B,North York,Don Mills North
39,M2R,North York,Willowdale West
40,M4X,Downtown Toronto,"Cabbagetown, St. James Town"
41,M4T,Central Toronto,"Moore Park, Summerhill East"
42,M2N,North York,Willowdale South
43,M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West"
44,M8W,Etobicoke,"Alderwood, Long Branch"
45,M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor"
46,M9L,North York,Humber Summit
47,M5E,Downtown Toronto,Berczy Park
48,M4L,East Toronto,"The Beaches West, India Bazaar"
49,M9A,Etobicoke,Islington Avenue
50,M5B,Downtown Toronto,"Ryerson, Garden District"
51,M4K,East Toronto,"The Danforth West, Riverdale"
52,M4E,East Toronto,The Beaches
53,M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto"
54,M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West"
55,M3C,North York,"Flemingdon Park, Don Mills South"
56,M6B,North York,Glencairn
57,M4W,Downtown Toronto,Rosedale
58,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
59,M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights"
60,M1H,Scarborough,Cedarbrae
61,M1J,Scarborough,Scarborough Village
62,M1B,Scarborough,"Rouge, Malvern"
63,M3M,North York,Downsview Central
64,M6E,York,Caledonia-Fairbanks
65,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
66,M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park"
67,M1N,Scarborough,"Birch Cliff, Cliffside West"
68,M5J,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station"
69,M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown"
70,M2L,North York,"Silver Hills, York Mills"
71,M9P,Etobicoke,Westmount
72,M2K,North York,Bayview Village
73,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter"
74,M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe"
75,M1X,Scarborough,Upper Rouge
76,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East"
77,M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village"
78,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
79,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
80,M3J,North York,"Northwood Park, York University"
81,M5H,Downtown Toronto,"Adelaide, King, Richmond"
82,M5R,Central Toronto,"The Annex, North Midtown, Yorkville"
83,M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea"
84,M4S,Central Toronto,Davisville
85,M6A,North York,"Lawrence Heights, Lawrence Manor"
86,M3N,North York,Downsview Northwest
87,M5G,Downtown Toronto,Central Bay Street
88,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern
89,M4J,East York,East Toronto
90,M6H,West Toronto,"Dovercourt Village, Dufferin"
91,M3L,North York,Downsview West
92,M2H,North York,Hillcrest Village
93,M1R,Scarborough,"Maryvale, Wexford"
94,M3A,North York,Parkwoods
95,M2M,North York,"Newtonbrook, Willowdale"
96,M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
97,M5X,Downtown Toronto,"First Canadian Place, Underground city"
98,M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn"
99,M4Y,Downtown Toronto,Church and Wellesley
100,M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park"
101,M4P,Central Toronto,Davisville North
102,M1E,Scarborough,"Guildwood, Morningside, West Hill"
